id,fecha,pais,ciudad,latitud,longitud,tipo_actividad,descripcion,contraparte,duracion_dias,foto_path
1,2024-11-20,Perú,Lima,-12.0464,-77.0428,Conferencia Internacional,Taller del Centro Regional de Competencia de la OCDE "Ley de Competencia Económica",OCDE - Centro Regional de Competencia,3,
2,2024-12-04,Francia,París,48.8566,2.3522,Foro / Cumbre,Foro Global de Competencia de la OCDE,OCDE,3,
3,2025-02-26,Francia,París,48.8566,2.3522,Conferencia Internacional,Jornada Abierta de Competencia de la OCDE,OCDE,1,
4,2025-05-07,Escocia,Edimburgo,55.9533,-3.1883,Conferencia Internacional,Reunión Anual del ICN,Red Internacional de Competencia (ICN),3,
5,2025-06-16,Francia,París,48.8566,2.3522,Reunión Bilateral,Comité de Competencia de la OCDE,OCDE,5,
6,2025-09-03,Corea del Sur,Seúl,37.5665,126.9780,Foro / Cumbre,13º Foro Internacional de Competencia,Korea Fair Trade Commission (KFTC),1,
7,2025-12-03,Costa Rica,San José,9.9281,-84.0907,Conferencia Internacional,Diálogo Regional de Políticas de IA y Taller de Herramientas de Política Pública del BID y OCDE,BID y OCDE,3,
8,2026-03-04,Francia,París,48.8566,2.3522,Conferencia Internacional,Jornada Abierta de Competencia de la OCDE,OCDE,1,
9,2026-03-25,Estados Unidos,Washington,38.9072,-77.0369,Conferencia Internacional,Reunión de Primavera del ABA (American Bar Association),American Bar Association (ABA),3,
